Id,bldg_sf,total_baths,good_ament_ct,btm_5_nbrhd,newHome,neg_ovrll_cond,adj_ovr_qual,adj_lot_area,bad_ament_ct,abnormal_sale,outside_sf,two_plus_cr_garg,sgl_famly_hm,top_3_nbrhd,homeage,remodelage,lotfrontage,garagecars,bedroomsabvgr,saleprice,log_saleprice
1,2566,3.5,3,0,0,0,4,7533,1,0,61,1,0,0,5,5,65.0,2,3,208500,12.247694320220994
2,2524,2.5,2,0,0,0,3,8040,0,0,298,1,0,0,31,31,80.0,2,3,181500,12.109010932687042
3,2706,3.5,4,0,0,0,4,10288,0,0,42,1,0,0,7,6,68.0,2,3,223500,12.31716669303576
4,2473,2.0,2,0,0,0,4,8282,0,1,307,1,0,0,91,36,60.0,3,3,140000,11.84939770159144
5,3343,3.5,4,0,0,0,5,12839,0,0,276,1,0,1,8,8,84.0,3,4,250000,12.429216196844383
6,2158,2.5,2,0,0,0,2,12929,1,0,390,1,0,0,16,14,85.0,2,1,143000,11.870599909242044
7,3380,3.0,5,0,1,0,5,8078,0,0,312,1,0,0,3,2,75.0,2,3,307000,12.634603026569334
8,3197,3.5,2,0,0,0,4,8608,0,0,667,1,0,0,36,36,0.0,2,3,200000,12.206072645530174
9,2726,2.0,1,1,0,0,4,4803,1,1,295,1,0,0,77,58,51.0,2,2,129900,11.77452020265869
10,2068,2.0,3,0,0,0,2,6339,0,0,4,0,1,0,69,58,50.0,1,2,118000,11.678439903447801
11,2080,2.0,1,0,0,0,2,10160,1,0,0,0,0,0,43,43,70.0,1,3,129500,11.771436160121729
12,3499,4.0,5,0,1,0,6,10574,0,0,168,1,0,1,1,0,85.0,3,4,345000,12.751299696013497
13,1824,2.0,0,0,0,0,2,11740,1,0,316,0,0,0,46,46,0.0,1,2,144000,11.877568578558138
14,2988,2.0,3,0,1,0,4,8965,0,0,193,1,0,0,1,0,91.0,3,3,279500,12.540757571577291
15,2506,2.5,0,0,0,0,3,9278,0,0,389,0,0,0,48,48,0.0,1,2,157000,11.964001084330445
16,1686,1.0,1,0,0,0,4,5106,2,0,160,1,0,0,78,6,51.0,2,2,132000,11.790557201568507
17,2008,2.0,2,0,0,0,3,10237,0,0,0,1,0,0,40,40,0.0,2,2,149000,11.911701584927597
18,1296,2.0,0,0,0,0,1,9495,1,0,0,1,1,0,39,39,72.0,2,2,90000,11.407564949312402
19,2228,2.5,3,0,1,0,2,12479,1,0,102,1,0,0,4,4,66.0,2,3,159000,11.976659481202368
20,2368,1.0,0,0,0,0,2,6221,1,1,0,0,0,0,51,44,70.0,1,3,139000,11.842229212112828
21,3534,3.5,4,0,1,0,5,12663,0,0,394,1,0,1,1,0,101.0,3,4,325300,12.692503112461443
22,1745,1.0,3,1,0,0,4,6136,1,0,205,0,0,0,77,57,57.0,1,3,139400,11.845102777308561
23,3572,2.0,3,0,0,0,5,7617,0,0,330,1,0,0,6,6,75.0,2,3,230000,12.345834587905333
24,2100,2.0,2,1,0,0,2,2954,0,0,210,1,1,0,31,31,44.0,2,3,129900,11.77452020265869
25,2120,2.0,3,0,0,0,2,6690,0,0,496,0,0,0,42,9,0.0,1,3,154000,11.944707881395766
26,3166,2.0,3,0,1,0,5,12574,0,0,56,1,0,1,2,2,110.0,3,3,256300,12.454103912352162
27,1800,1.5,1,0,0,0,2,6046,1,0,254,1,0,0,59,10,60.0,2,3,134800,11.811547477460344
28,3408,3.0,5,0,1,0,5,9724,0,0,50,1,0,1,3,2,98.0,3,3,306000,12.631340380934517
29,3084,2.0,1,0,0,0,2,14175,0,0,546,0,0,0,49,9,47.0,1,2,207500,12.24288661865289
30,1040,1.0,0,0,0,0,1,5668,2,0,136,0,0,0,81,58,60.0,1,1,68500,11.134589024250317
31,1966,1.0,0,1,0,1,1,7625,2,0,226,0,0,0,88,58,50.0,1,3,40000,10.596634733096073
32,2456,1.5,1,0,0,0,2,7251,1,0,65,0,0,0,42,2,0.0,1,3,149350,11.914047823644255
33,2468,2.0,3,0,1,0,5,9785,1,0,30,1,0,0,1,1,85.0,2,3,179900,12.100156419938624
34,3098,2.0,2,0,0,0,2,8814,0,0,38,1,0,0,51,51,70.0,2,4,165500,12.016726473799254
35,3122,3.0,5,0,1,0,6,5502,0,0,250,1,1,1,2,2,60.0,2,2,277500,12.533576212168626
36,3569,3.5,4,0,1,0,5,12141,0,0,145,1,0,1,2,1,108.0,3,4,309000,12.641096555879882
37,2194,1.5,1,0,0,0,2,9306,1,0,456,1,0,0,15,14,112.0,2,3,145000,11.884489021402711
38,2594,1.5,1,0,0,0,2,7235,0,0,0,1,0,0,55,19,74.0,2,3,153000,11.938193200374572
39,2114,2.0,2,0,0,0,2,6813,1,1,52,0,0,0,57,3,68.0,1,3,109000,11.59910316121128
40,1152,2.0,0,1,0,0,1,4888,3,0,0,0,1,0,53,53,65.0,0,2,82000,11.314474526246391
41,2412,2.0,2,0,0,0,3,7196,0,1,138,1,0,0,41,41,84.0,2,3,160000,11.982929094215963
42,2678,2.0,1,0,0,0,2,15473,0,0,104,0,0,0,48,48,115.0,1,2,170000,12.043553716032399
43,1724,2.0,1,0,0,0,2,8056,1,0,240,1,0,0,24,24,0.0,2,2,144000,11.877568578558138
44,1876,2.0,0,0,0,0,2,8117,1,0,145,0,0,0,33,28,0.0,1,3,130250,11.777210959615614
45,2300,2.0,1,0,0,0,2,6795,2,0,0,0,0,0,47,47,70.0,1,3,141000,11.856515169360305
46,3504,3.0,5,0,0,0,6,5628,0,0,278,1,1,1,5,5,61.0,2,2,319900,12.675763725937609
47,3583,2.5,5,0,0,0,4,10895,0,1,409,1,0,0,6,6,48.0,2,1,239686,12.387085012375499
48,3312,2.0,3,0,1,0,5,9294,1,0,146,1,0,0,1,1,84.0,3,3,249700,12.428015476267865
49,2188,2.0,0,1,0,0,1,3618,1,0,102,0,1,0,89,1,33.0,0,2,113000,11.635143097694478
50,1910,2.0,1,0,0,0,2,6787,1,0,0,0,0,0,41,41,66.0,1,3,127000,11.751942365440728
51,2264,2.5,1,0,0,0,3,13000,1,0,75,1,0,0,10,10,0.0,2,3,177000,12.083905011555967
52,1632,1.0,1,0,0,0,3,5312,0,0,112,1,0,0,72,56,52.0,2,3,114500,11.648330101976432
53,1632,2.0,1,1,0,0,2,7550,2,0,106,1,1,0,47,47,110.0,2,2,110000,11.608235644774552
54,3684,2.5,4,0,0,0,6,47500,0,0,929,1,0,0,25,19,68.0,3,0,385000,12.86099861326992
55,1744,1.0,1,0,0,0,2,5724,0,0,50,1,0,0,52,52,60.0,2,3,130000,11.77528972943772
56,2850,2.0,1,0,0,0,3,8343,0,0,407,1,0,0,44,44,100.0,2,3,180500,12.103486056755072
57,2709,3.5,3,0,0,0,5,1547,1,1,115,1,1,0,10,9,24.0,2,3,172500,12.058152515453552
58,2580,2.5,2,0,1,0,4,10715,1,0,70,1,0,0,2,2,89.0,2,3,196500,12.188417710291453
59,4355,3.5,4,0,1,0,7,12027,0,0,229,1,0,1,0,0,66.0,3,3,438780,12.991753427493052
60,1560,1.0,1,0,0,0,2,6224,1,0,196,0,0,0,36,36,60.0,1,2,124900,11.73526869611367
61,2316,2.5,2,0,1,0,3,11864,1,0,50,1,0,0,2,2,63.0,2,3,158000,11.970350312009105
62,1641,1.0,0,1,0,0,2,6475,2,0,144,0,0,0,87,11,60.0,1,3,101000,11.522875795823397
63,2740,2.0,4,0,1,0,5,4903,0,0,169,1,1,1,1,1,44.0,2,2,202500,12.218495165528731
64,2286,2.0,0,1,0,0,4,9311,1,0,87,1,0,0,89,60,50.0,2,3,140000,11.84939770159144
65,3091,3.5,3,0,0,0,4,7706,1,0,612,1,0,0,12,11,0.0,2,3,219500,12.299107511497363
66,3616,2.5,4,0,1,0,5,8105,0,0,343,1,0,1,3,2,76.0,3,4,317000,12.666657052859417
67,4154,3.0,2,0,0,0,4,17392,0,0,301,1,0,0,40,21,0.0,2,3,180000,12.100712129872347
68,2932,3.0,3,0,1,0,4,9013,1,0,173,1,0,0,4,4,72.0,2,3,226000,12.328290278254423
69,1494,1.0,0,1,0,0,1,3861,1,0,0,0,0,0,65,60,47.0,1,2,80000,11.289781913656018
70,3591,2.0,1,0,0,1,4,14154,0,0,135,1,0,0,53,53,81.0,2,3,225000,12.323855681186558
71,4446,3.0,2,0,0,0,4,11128,0,0,300,1,0,0,34,34,95.0,2,3,244000,12.404923504275338
72,1690,2.0,0,0,0,0,1,6754,1,0,0,1,0,0,25,1,69.0,2,2,129500,11.771436160121729
73,2550,2.5,1,0,0,0,4,8871,0,0,385,1,0,0,11,11,74.0,2,3,185000,12.128111104060462
74,2172,2.0,0,0,0,0,2,9114,1,0,0,1,0,0,56,7,85.0,2,3,144900,11.883799128308773
75,2445,2.0,0,1,0,0,0,4748,2,0,202,0,0,0,95,60,60.0,1,3,107400,11.584315461056901
76,1450,2.0,1,1,0,0,1,849,1,0,221,0,1,0,36,36,21.0,1,2,91000,11.418614785498987
77,1904,1.0,1,0,0,0,1,7523,2,0,0,0,0,0,52,52,0.0,1,2,135750,11.818570237796182
78,1957,2.0,1,0,0,0,2,7563,1,0,0,0,0,0,60,7,50.0,1,2,127000,11.751942365440728
79,3536,2.0,0,0,0,0,1,9010,2,0,0,0,1,0,42,42,72.0,0,4,136500,11.824079893607152
80,1670,1.5,0,1,0,0,2,9556,1,0,202,1,0,0,99,28,60.0,2,2,110000,11.608235644774552
81,3038,2.5,2,0,0,0,3,11494,0,0,324,0,0,0,41,41,100.0,1,4,193500,12.173032791451973
82,2574,3.0,3,0,0,0,3,2964,1,0,199,1,1,0,8,8,32.0,2,2,153500,11.941455846009388
83,3126,2.0,4,0,1,0,5,8400,0,0,243,1,0,0,1,1,78.0,3,3,245000,12.409013489526863
84,2130,1.5,0,0,0,0,2,7753,1,0,74,1,0,0,47,47,80.0,2,3,126500,11.747997587149712
85,1858,2.5,1,0,0,0,4,7534,0,0,192,1,0,0,14,13,0.0,2,3,168500,12.034691028774553
86,3705,2.5,3,0,0,0,5,14549,0,0,209,1,0,1,15,14,121.0,2,4,260000,12.468436909997665
87,2244,2.5,3,0,1,0,3,11089,0,0,138,1,0,0,4,4,122.0,2,3,174000,12.066810578196666
88,1836,2.5,2,0,1,0,3,3105,1,0,234,1,1,0,0,0,40.0,2,2,164500,12.010665849187564
89,2026,1.0,0,1,0,1,0,7301,2,1,156,0,0,0,94,27,105.0,0,2,85000,11.350406535472453
